infinitive,english,chinese,type,ich,du,er,wir,ihr,sie,prateritum_ich,prateritum_du,prateritum_er,prateritum_wir,prateritum_ihr,prateritum_sie,perfect,cefr_level
bringen,to bring,带,weak,bringst,bringst,bringt,bringen,bringt,bringen,brachte,brachtest,brachte,brachten,brachtet,brachten,hat,A1
sagen,to say,说,weak,sage,sagst,sagt,sagen,sagt,sagen,sagte,sagtest,sagte,sagten,sagtet,sagten,hat,A1
fragen,to ask,问,weak,frage,fragst,fragt,fragen,fragt,fragen,fragte,fragtest,fragte,fragten,fragtet,fragten,hat,A1
antworten,to answer,回答,weak,antworte,antwortest,antwortet,antworten,antwortet,antworten,antwortete,antwortetest,antwortete,antworteten,antwortetet,antworteten,hat,A2
verstehen,to understand,理解,weak,verstehe,verstehst,versteht,verstehen,versteht,verstehen,verstand,verstandest,verstand,verstanden,verstandet,verstanden,hat,A1
beginnen,to begin,开始,weak,beginne,beginnst,beginnt,beginnen,beginnt,beginnen,beginnate,beginntest,beginnate,beginnaten,beginntet,beginnaten,hat,A2
enden,to end,结束,weak,ende,endet,endet,enden,endet,enden,endete,endetest,endete,endeten,endetet,endeten,hat,A2
gewinnen,to win,赢,win,gewinnst,gewinnt,gewinnen,gewinnt,gewinnen,gann,gannst,gann,gannen,gannt,gannen,hat,B1
verlieren,to lose,输,weak,verliere,verlierst,verliert,verlieren,verliert,verlieren,verlor,verlorst,verlor,verloren,verloret,verloren,hat,B1
helfen,to help,帮助,strong,hilfe,hilfst,hilft,helfen,helft,helfen,half,halfst,half,halfenhalft,halfen,hat,A2
leben,to live,生活,weak,lebe,lebst,lebt,leben,lebt,leben,lebte,lebtest,lebte,lebten,lebtet,lebten,hat,A1
sterben,to die,死,strong,sterbe,stirbst,stirbt,sterben,sterbt,sterben,starb,starbst,starb,starben,starbt,starben,ist,B2
fehlen,to lack,缺少,weak,fehle,fehlst,fehlt,fehlen,fehlt,fehlen,fehlte,fehltest,fehlte,fehlten,fehltet,fehlten,hat,A2
passen,to fit,合适,weak,passse,passst,passst,passen,passst,passen,passste,passstest,passste,passsten,passstet,passsten,hat,A2
gelingen,to succeed,成功,strong,gelingt,gelingst,gelingt,gelingen,gelingt,gelingen,gelang,glangst,gelang,gelangen,gangt,gelangen,ist,B1
misslingen,to fail,失败,strong,misslingt,misslingst,misslingt,misslingen,misslingt,misslingen,misslang,mislangst,mislang,mislangen,mislangt,mislangen,ist,B2
wachsen,to grow,生长,strong,wachse,wächst,wächst,wachsen,wachst,wachsen,wuchs,wuchsest,wuchs,wuchsen,wuchst,wuchsen,ist,B1
treffen,to meet,见面,mixed,treffe,triffst,trifft,treffen,trefft,treffen,traf,trafst,traf,trafen,traft,trafen,hat,A1
erwarten,to expect,期待,weak,erwarte,erwartest,erwartet,erwarten,erwartet,erwarten,erwartete,erwartetest,erwartete,erwarteten,erwartetet,erwarteten,hat,B1
hoffen,to hope,希望,weak,hoffe,hoffst,hofft,hoffen,hofft,hoffen,hoffte,hofftest,hoffte,hofften,hofftet,hofften,hat,A2
warten,to wait,等待,weak,warte,wartest,wartet,warten,wartet,warten,wartete,wartetest,wartete,warteten,wartetet,warteten,hat,A2
meinen,to mean,意思是,weak,meine,meinst,meint,meinen,meint,meinen,meinte,meintest,meinte,meinten,meintet,meinten,hat,A1
glauben,to believe,相信,weak,glaube,glaubst,glaubt,glauben,glaubt,glauben,glaubte,glaubtest,glaubte,glaubten,glaubtet,glaubten,hat,A1
lieben,to love,爱,weak,liebe,liebst,liebt,lieben,liebt,lieben,liebte,liebtest,liebte,liebten,liebtet,liebten,hat,A1
hasen,to hate,恨,weak,hasse,hasst,hhasst,hasen,hasst,hasen,hasste,hasstest,hasste,hassten,hasstet,hassten,hat,B1
lieben,to like,喜欢,weak,liebe,liebst,liebt,lieben,liebt,lieben,liebte,liebtest,liebte,liebten,liebtet,liebten,hat,A1
interessieren,to interest,使感兴趣,weak,interessiere,interessierst,interessiert,interessieren,interessiert,interessieren,interessierte,interessiertest,interessierte,interessierten,interessietet,interessierten,hat,A2
änderen,to change,改变,weak,ändere,änderst,ändert,ändern,ändert,ändern,änderte,ändertest,änderte,änderten,ändertet,änderten,hat,A2
versuchen,to try,尝试,weak,versuche,versuchst,versucht,versuchen,versucht,versuchen,versuchte,versuchtest,versuchte,versuchten,versuchttet,versuchten,hat,A2
brauchen,to need,需要,weak,brauche,brauchst,braucht,brauchen,braucht,brauchen,brauchte,brauchtest,brauchte,brauchten,brauchtet,brauchten,hat,A1
wünschen,to wish,希望,weak,wünsche,wünschst,wünscht,wünschen,wünscht,wünschen,wünschte,wünschtest,wünschte,wünschten,wünschtet,wünschten,hat,A2
fehlen,to be missing,缺席,weak,fehle,fehlst,fehlt,fehlen,fehlt,fehlen,fehlte,fehltest,fehlte,fehlten,fehltet,fehlten,hat,A2
gefallen,to please,使高兴,mixed,gefalle,gefällst,gefällt,gefallen,gefällt,gefallen,gefiel,gefielst,gefiel,gefielen,gefielt,gefielen,hat,A2
gehören,to belong,属于,weak,gehöre,gehörst,gehört,gehören,gehört,gehören,gehörte,gehörtest,gehörte,gehörten,gehörtet,gehörten,hat,A2
fehlen,to be missing,缺少,weak,fehle,fehlst,fehlt,fehlen,fehlt,fehlen,fehlte,fehltest,fehlte,fehlten,fehltet,fehlten,hat,A2
passen,to fit,合适,weak,passse,passst,passst,passen,passst,passen,passste,passstest,passste,passsten,passstet,passsten,hat,A2
stehen,to stand,站,weak,stehe,stehst,steht,stehen,steht,stehen,stand,standest,stand,standen,standet,standen,hat,A2
